Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.011101,-9.8964E-05,0.21603,0,0,0,54.31,1.9493,2.7971E-05,0.0019566,1.2356,6.2271E-06,1.9977,0,0,0,0,0,0,package://DX-XM8888/meshes/base_link.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://DX-XM8888/meshes/base_link.STL,,DX-X-02 立柱2-1;DX-X-03 机械臂支座-1;yuanzhu200-1;BME33-2;电箱组件-1/配电盘-1;电箱组件-1/电箱下壳体-1;电箱组件-1/电箱们盖-1;DX-X-01 底板-1;CLT01-D50-NE-6;CLT01-D50-NE-1;CLT01-D50-NE-5;电箱组件-1/DX-X-04 支撑座-1;CLT01-D50-NE-3;2026-02-03_简化-2/00_ASSY-1/简化-1/L-1/臂-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1/Marvin_M6-S-R-CCS__5DOF-1/open_shell.0-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1-1/Marvin_M6-S-R-CCS__5DOF-1-1/open_shell.0-1-1,baseline,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R0,-0.0730876347582765,-0.00169466536650364,1.57043671133463E-06,0,0,0,0.810573124285002,0.000875006197610467,-3.17547113595157E-05,-1.70686261245584E-08,0.00198762368268697,2.28481273823116E-08,0.00167181916653638,0,0,0,0,0,0,package://DX-XM8888/meshes/R0.STL,0.129411764705882,0.549019607843137,0.129411764705882,1,0,0,0,0,0,0,package://DX-XM8888/meshes/R0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1-1/Marvin_M6-S-R-CCS__5DOF-1-1/open_shell.1-1-1,R0_,R0Z,r_a_jiont_1,revolute,-0.0010607,-0.1233,0.956,1.5708,0,1.5622,base_link,-1,0,0,0,0,0,0,,,,,,,,
R1,-0.0325125818202819,-0.0477186080731291,-0.00040856960132958,0,0,0,1.14647258047416,0.00453232791118084,8.27137596813091E-05,6.58974077040845E-07,0.00235220712962895,-2.63844552197749E-05,0.00541257078755252,0,0,0,0,0,0,package://DX-XM8888/meshes/R1.STL,0.188235294117647,0.498039215686275,0.286274509803922,1,0,0,0,0,0,0,package://DX-XM8888/meshes/R1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1-1/Marvin_M6-S-R-CCS__5DOF-1-1/open_shell.2-1-1,R1_,R1Z,r_a_jiont_2,revolute,-0.096200000000012,-0.031,0,-0.00860244454077082,0,-1.5707963267949,R0,-1,0,0,0,0,0,0,,,,,,,,
R2,-0.0821685231223153,0.00090270364389311,0.00584948777723216,0,0,0,1.04272105088956,0.00108536183661709,5.34945826621182E-05,0.000397728017318637,0.00373726794599809,-1.14348164904294E-05,0.00345382472068555,0,0,0,0,0,0,package://DX-XM8888/meshes/R2.STL,0.929411764705882,0.509803921568627,0.929411764705882,1,0,0,0,0,0,0,package://DX-XM8888/meshes/R2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1-1/Marvin_M6-S-R-CCS__5DOF-1-1/open_shell.3-1-1,R2_,R2Z,r_a_jiont_3,revolute,-0.0309999999999842,-0.147994523880393,-0.00127314608926948,0,-0.00860244453975651,1.57079632679595,R1,-1,0,0,0,0,0,0,,,,,,,,
R3,0.0259010978152897,-0.0315541275495176,0.00768625813909946,0,0,0,0.747371476482119,0.00187984148091805,3.96930114115498E-05,-9.6910928971498E-06,0.0014168277728203,0.0002484334824945,0.00235807842071777,0,0,0,0,0,0,package://DX-XM8888/meshes/R3.STL,1,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://DX-XM8888/meshes/R3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1-1/Marvin_M6-S-R-CCS__5DOF-1-1/open_shell.4.01-1-1,R3_,R3Z,r_a_jiont_4,revolute,-0.138999981597286,-0.0285000620635597,0.0179999968235946,-3.13299020905004,0,1.57079632679384,R2,1,0,0,0,0,0,0,,,,,,,,
R4,-0.12697123295657,-1.42431167415857E-07,-0.00153675331616731,0,0,0,0.611334021306257,0.000308135663120887,2.27701230831702E-11,-5.59288844943298E-06,0.000850834793766663,8.3482556041114E-07,0.000962805492381095,0,0,0,0,0,0,package://DX-XM8888/meshes/R4.STL,0.866666666666667,0.717647058823529,0.517647058823529,1,0,0,0,0,0,0,package://DX-XM8888/meshes/R4.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/天机臂法兰盖板-1-2;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/手腕-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/推杆.02-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/推杆.02-1-2;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/天机臂法兰盖板-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/相机高度调节支架-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Screw_DIN_912_M3_x_6.02-1-1,R4_,R4Z,r_a_jiont_5,revolute,0.0275837367906082,-0.12084069924243,0.0190402139193349,-3.1415926535897,0.00860244453913419,1.5707963268058,R3,-1,0,0,0,0,0,0,,,,,,,,
RFH0,-0.0284999999999997,-2.57151420379742E-05,-0.00298920935604074,0,0,0,0.0321207212316395,4.70268226143334E-06,-7.61020000796788E-19,2.57527722071604E-20,9.5400019738224E-06,-2.54074655680071E-08,6.58677647394516E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RFH0.STL,1,0.0666666666666667,0.568627450980392,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RFH0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/轴-1-1,RFH0_,RHF0Z,r_a_jiont_6,revolute,-0.214500000000335,0.0284999999982973,0,-3.13299020905066,0,1.57079632680595,R4,-1,0,0,0,0,0,0,,,,,,,,
RFH1,-0.0281357631256852,0.00116684069530026,0.0629760763934342,0,0,0,0.552446471191886,0.000978194028981453,-1.24773316782625E-06,6.92295259456392E-05,0.000800462955315249,1.60079814286245E-07,0.000456980491604078,0,0,0,0,0,0,package://DX-XM8888/meshes/RFH1.STL,0.858823529411765,0.858823529411765,0.858823529411765,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RFH1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/手掌右-1-1/手掌骨架右-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/手掌右-1-1/基座右手-1-1,RFH1_,RHF1Z,r_a_jiont_7,revolute,-0.0285000000001258,-0.000240865476695218,-0.0279989639776572,0,1.56219388225414,-1.57079632679495,RFH0,-1,0,0,0,0,0,0,,,,,,,,
RH0_0,0.0166000000000736,0.00521327808422134,0.000919241584205043,0,0,0,0.0105242867562445,1.25329562191836E-06,-4.36350075817747E-18,5.49153628145379E-19,6.10012837060415E-07,-1.23147578251533E-07,1.2867032180634E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_0.STL,0.929411764705882,0.866666666666667,0.509803921568627,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/拇指-1-1/拇指0-1-1,RH0-0_,RH0-0Z,r_f_jiont_1_1,revolute,0.00100000000001333,0.0173445602785594,0.060947125774099,1.57079632679489,0.916297857296865,1.5707963267949,RFH1,-1,0,0,0,0,0,0,,,,,,,,
RH0_1,0.00979982892691597,0.0148825069432138,-0.0104531402281481,0,0,0,0.0246804493675454,7.69892174607913E-06,9.93084504641505E-11,-3.99626407624253E-11,3.89934571033323E-06,2.84877964497747E-06,5.54920831564934E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_1.STL,0.458823529411765,0.529411764705882,0.6,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/拇指-1-1/拇指1-1-1,RH0-1_,RH0-1Z,r_f_jiont_1_2,revolute,0.0166000000000355,0.0160247874130681,0.0127767831775244,2.23270279024695,1.39626340159546,1.57079632679474,RH0_0,-1,0,0,0,0,0,0,,,,,,,,
